,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
14,2022-04-01,-0.18215482761250512,-0.08328497766904408,0.0038850647834718366,0.004060879132260942,-0.08328497766904397,-0.17426465549351922,0.0016026857214437307,0.008062817738124117,0.010770467360356806,Patricia Manor Place
15,2022-07-01,-0.14837600241353954,-0.06044422355309775,0.02603557817132862,0.026538522363967143,-0.06044422355309753,-0.13970337445935932,0.02115237911751988,0.030267970096608643,0.0283119353903154,Patricia Manor Place
16,2022-10-01,-0.10694841511932673,-0.03461659002547546,0.044793555286584796,0.04644279060065992,-0.034616590025475236,-0.09937855374691817,0.03855188785531172,0.04883698775949141,0.043532576293352276,Patricia Manor Place
17,2023-01-01,-0.094378258567134,-0.013650509372795216,0.07694972770475705,0.07834365982941449,-0.013650509372795105,-0.08576272445676492,0.06791160451100686,0.08116960441473275,0.07171342995355134,Patricia Manor Place
18,2023-04-01,-0.08179606532804684,0.0038050175519528384,0.10296430724067407,0.10446964051579721,0.0038050175519530605,-0.07324963478350988,0.09147440123122053,0.10763989146720165,0.09383551809999435,Patricia Manor Place
19,2023-07-01,-0.0729246231431,0.008010641492358417,0.10943664484499926,0.11049778367499608,0.008010641492358417,-0.0658043967643458,0.09456406502855708,0.11343968201939725,0.0951247446482828,Patricia Manor Place
20,2023-10-01,-0.05285819693309113,0.018466258016040182,0.11657356958123688,0.1175380909963668,0.018466258016040182,-0.04765735200336685,0.09952567179416705,0.1217102021534775,0.0984605460105128,Patricia Manor Place
0,2018-10-01,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,0.12849445674897697,Regency - Tanglewood - Marquee - Wildwood
1,2019-01-01,0.1205763585219306,0.1205763585219306,0.10961783792494417,0.11968696942145507,0.1205763585219306,0.1205763585219306,0.1205763585219306,0.1260269744912581,0.1205763585219306,Regency - Tanglewood - Marquee - Wildwood
2,2019-04-01,0.12274673566018901,0.159869950273672,0.17308123176361412,0.18372194384293472,0.15627255278825847,0.13197507643214434,0.17762822710473203,0.19115827177155054,0.18000477100529366,Regency - Tanglewood - Marquee - Wildwood
3,2019-07-01,0.09934728572115215,0.160084557086565,0.18197669880734324,0.1934204309907166,0.15227829234371093,0.10930070165732886,0.1842034045722334,0.2037709523450446,0.1889394492963592,Regency - Tanglewood - Marquee - Wildwood
4,2019-10-01,0.04762182327092468,0.13139213043766906,0.15727373636956266,0.17093223959232406,0.1128247558559845,0.059310008894882804,0.1591053707317771,0.18344700957100568,0.16688057369268616,Regency - Tanglewood - Marquee - Wildwood
5,2020-01-01,0.0544237270914929,0.14105214902285912,0.1716255854700952,0.185829337557899,0.11647409978245093,0.05957719123696026,0.17057614790127862,0.19948067751139842,0.1800046319858053,Regency - Tanglewood - Marquee - Wildwood
6,2020-04-01,0.10645550210437693,0.18185666627414476,0.21524643864506787,0.23019850064324832,0.15975197247862516,0.10541790293758835,0.213937922471525,0.24375753901910335,0.2229343151654637,Regency - Tanglewood - Marquee - Wildwood
7,2020-07-01,0.1032845499387145,0.17618778289278447,0.21812946984714165,0.23302190943410106,0.1555469322998866,0.0971471726644948,0.21405413467146883,0.24796773782535553,0.22239070068035272,Regency - Tanglewood - Marquee - Wildwood
